"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"prsupport19","Integer","","Recommended","I have someonewho makes me feel needed","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport20","Integer","","Recommended","I have someonewho makes me feel appreciated","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","feelappreciated"
"prsupport21","Integer","","Recommended","I have someone I trust to talk with about my feelings. / You have someone you trust to talk with about your feelings.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport22","Integer","","Recommended","I have people who care about what happens to me","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport23","Integer","","Recommended","I get love and affection","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport24","Integer","","Recommended","I have someone to talk with when I have a bad day. / You have someone to talk with when you have a bad day.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","talkonbadday"
"prsupport25","Integer","","Recommended","I have someone I trust to talk with about my problems. / You have someone you trust to talk with about your problems.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport26","Integer","","Recommended","I feel there are people who really understand me","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport27","Integer","","Recommended","There are people I can talk to","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"support_goodadvice","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to give you good advice about a crisis.   PX630501_Support_Good_Advice","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"support_suggestions","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to turn to for suggestions about how to deal with a personal problem.  PX630501_Support_Turn_To_Problems","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"prsupport30","Integer","","Recommended","I can get helpful advice from others when dealing with a problem. / You can get helpful advice from others when dealing with a problem.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport31","Integer","","Recommended","I have people I can turn to for help with my problems","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"support_help","Integer","","Recommended","People sometimes look to others for companionship, assistance, or other types of support. How often is each oft eh following kinds of support available to you if you need it? Circle one number for each line.  Someone to give you information to help you understand a situation.   PX630501_Support_Information_Help","1::5","1=none of the time; 2=A little of the time; 3=Some of the time; 4=Most of the time; 5=All of the time",""
"prsupport33","Integer","","Recommended","I get useful advice about important things in life","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport34","Integer","","Recommended","My family has useful information to help me with my problems","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport35","Integer","","Recommended","Other people help me get information when I have a problem","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport36","Integer","","Recommended","My friends have useful information to help me with my problems","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport37","Integer","","Recommended","I have someone to talk with about money matters","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport38","Integer","","Recommended","PROMIS raw score: Instrumental Support","","",""
"prsupport39","Float","","Recommended","PROMIS T-score: Instrumental Support","","",""
"prsupport40","Integer","","Recommended","PROMIS raw score: Emotional Support","","","prom_emosupp4a_rs"
"prsupport41","Float","","Recommended","PROMIS T-score: Emotional Support","","",""
"prsupport42","Integer","","Recommended","PROMIS raw score: Informational Support","","",""
"prsupport43","Float","","Recommended","PROMIS T-score: Informational Support","","",""
"site","String","101","Recommended","Site","","Study Site","siteid"
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing","timepoint"
"prsupport44","Integer","","Recommended","I feel there are people I can talk to if I were upset. / You feel there are people you can talk to if you are upset.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prsupport45","Integer","","Recommended","I have someone to turn to for suggestions about how to deal with a problem. / You have someone to turn to for suggestions about how to deal with a problem.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"prloneliness01","Integer","","Recommended","How often do you feel that you lack companionship?","1::3","1 = Hardly Ever; 2 = Some of the Time; 3 = Often",""
"prloneliness02","Integer","","Recommended","How often do you feel left out?","1::3","1 = Hardly Ever; 2 = Some of the Time; 3 = Often",""
"prloneliness03","Integer","","Recommended","How often do you feel isolated from others? ","1::3","1 = Hardly Ever; 2 = Some of the Time; 3 = Often",""
"prsupport_listen","Integer","","Recommended","PROMIS EmoSu4a: Listen When Need Talk (2 wks)","0::4; -5; -7; -8","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very Often; -8=DON''T KNOW; -7=REFUSED; -5=Presented, not answered",""
"prsupport_feelappreciated","Integer","","Recommended","PROMIS EmoSu4a: Make Feel Appreciated (2 wks)","0::4; -5; -7; -8","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very Often; -8=DON''T KNOW; -7=REFUSED; -5=Presented, not answered",""
"prsupport_talkonbadday","Integer","","Recommended","PROMIS EmoSu4a: Talk When Bad Day (2 wks)","0::4; -5; -7; -8","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Very Often; -8=DON''T KNOW; -7=REFUSED; -5=Presented, not answered",""
"prom_emosup4a_rs","Integer","","Recommended","PROMIS Emotional Support SF4a Raw Score","0::15 ","Higher score indicates more emotional support",""
"prsupport28","Integer","","Recommended","I have someone to confide in or talk to about myself or my problems. / You have someone to confide in or talk to about yourself or your problems.","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always",""
"esfam04","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your family members provide each of the following types of support: I have a family member to talk with when I have a bad day related to my sexual orientation.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"esfri01","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your friends provide each of the following types of support: I have a friend who will listen to me when I need to talk about experiences related to my sexual orientation.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"esfri02","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your friends provide each of the following types of support: I have a friend to confide in or talk to about being LGBTQ+ or related problems.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"esfri03","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your friends provide each of the following types of support: I have a friend who makes me feel appreciated with regards to my sexual orientation.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"esfri04","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your friends provide each of the following types of support: I have a friend to talk with when I have a bad day related to my sexual orientation.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"esfam01","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your family members provide each of the following types of support:  I have a family member who will listen to me when I need to talk about experiences related to my sexual orientation.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"esfam02","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your family members provide each of the following types of support: I have someone in my family to confide in or talk to about being LGBTQ+ or related problems.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"esfam03","Integer","","Recommended","Think about times you experience stress, rejection, or other difficulties related to your sexual orientation. Please rate how often your family members provide each of the following types of support: I have someone in my family who makes me feel appreciated with regards to my sexual orientation.","1::5","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always",""
"ccc31052x","Integer","","Recommended","Do you have someone to help you if you are confined to bed?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ccc31052x_6mo"
"ccc31055x","Integer","","Recommended","Do you have someone to take you to the doctor if you need it?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ccc31055x_6mo"
"ccc31065x","Integer","","Recommended","Do you have someone to help with your daily chores if you are sick?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ccc31065x_6mo"
"ccc31062x","Integer","","Recommended","Do you have someone to prepare your meals if you are unable to do it yourself?","1::5","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Usually; 5 = Always","ccc31062x_6mo"
"es04_fri","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone to talk with when I have a bad day related to your sexual orientation - Friend","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
"es04_fam","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone to talk with when I have a bad day related to your sexual orientation - Family Member","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"es01_fri","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone who will listen to me when I need to talk about experiences related to your sexual orientation - Friend","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
"es01_fam","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone who will listen to me when I need to talk about experiences related to your sexual orientation - Family Member","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
"es02_fri","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone to confide in or talk to about your sexual orientation or related problems - Friend","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
"es02_fam","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone to confide in or talk to about your sexual orientation or related problems - Family Member","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
"es03_fri","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone who makes me feel appreciated with regards to your sexual orientation - Friend","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
"es03_fam","Integer","","Recommended","Think about stress, rejection or other difficulties related to your sexual orientation. I have someone who makes me feel appreciated with regards to your sexual orientation - Family Member","1::5; 888; 999","1= Never; 2 =Rarely; 3 = Sometimes; 4 = Often; 5 =Always; 888 = N/A - condition skipped; 999 = Missing/No answer",""
