"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"diff_rkn15","Integer","","Recommended","Right Knee Difficulty: On/Off Toilet, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn16","Integer","","Recommended","Right Knee Difficulty: Heavy Chores, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_rkn17","Integer","","Recommended","Right Knee Difficulty: Light Chores, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"stiff_rkn1","Integer","","Recommended","Right Knee Stiffness: In Morning, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"stiff_rkn2","Integer","","Recommended","Right Knee Stiffness: Later In Day, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"sym_lkn1","Integer","","Recommended","Left knee symptoms: swelling, last 7 days","0::4","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Always",""
"sym_lkn2","Integer","","Recommended","Left knee symptoms: feel grinding, hear clicking or any other type of noise when knee moves, last 7 days","0::4","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Always",""
"sym_lkn3","Integer","","Recommended","Left knee symptoms: knee catch or hang up when moving, last 7 days","0::4","0=Never; 1=Rarely; 2=Sometimes; 3=Often; 4=Always",""
"sym_lkn4","Integer","","Recommended","Left knee symptoms: straighten knee fully, last 7 days","0::4","0=Always; 1=Often; 2=Sometimes; 3=Rarely; 4=Never",""
"sym_lkn5","Integer","","Recommended","Left knee symptoms: bend knee fully, last 7 days","0::4","0=Always; 1=Often; 2=Sometimes; 3=Rarely; 4=Never",""
"pain_lkfr","Integer","","Recommended","Left knee pain: how often","0::4","0=Never; 1=Monthly; 2=Weekly; 3=Daily; 4=Always",""
"pain_lknsp1","Integer","","Recommended","Left knee pain: twisting/pivoting on knee, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_lknsp2","Integer","","Recommended","Left knee pain: straightening knee fully, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_lknsp3","Integer","","Recommended","Left knee pain: bending knee fully, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_lkn1","Integer","","Recommended","Left Knee Pain: Walking, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_lkn2","Integer","","Recommended","Left Knee Pain: Stairs, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_lkn3","Integer","","Recommended","Left Knee Pain: In Bed, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_lkn4","Integer","","Recommended","Left Knee Pain: Sit Or Lie Down, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"pain_lkn5","Integer","","Recommended","Left Knee Pain: Standing, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"diff_lkn1","Integer","","Recommended","Left Knee Difficulty: Down Stairs, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn2","Integer","","Recommended","Left Knee Difficulty: Up Stairs, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn3","Integer","","Recommended","Left Knee Difficulty: Stand From Sitting, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn4","Integer","","Recommended","Left Knee Difficulty: Standing, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn5","Integer","","Recommended","Left Knee Difficulty: Bending, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn6","Integer","","Recommended","Left Knee Difficulty: Walking, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn7","Integer","","Recommended","Left Knee Difficulty: In Car/Out Of Car, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn8","Integer","","Recommended","Left Knee Difficulty: Shopping, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn9","Integer","","Recommended","Left Knee Difficulty: Socks On, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn10","Integer","","Recommended","Left Knee Difficulty: Get Out Of Bed, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn11","Integer","","Recommended","Left Knee Difficulty: Socks Off, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn12","Integer","","Recommended","Left Knee Difficulty: Lying Down, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn13","Integer","","Recommended","Left Knee Difficulty: Get In/Out Of Bathtub, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn14","Integer","","Recommended","Left Knee Difficulty: Sitting, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn15","Integer","","Recommended","Left Knee Difficulty: On/Off Toilet, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn16","Integer","","Recommended","Left Knee Difficulty: Heavy Chores, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"diff_lkn17","Integer","","Recommended","Left Knee Difficulty: Light Chores, Last 7 Days","0::4","0 = None; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme; blank = Not expected/ Missing/ Refused/ Do not know/Unknown/Uncertain/ Do not do/ Missing form/incomplete workbook",""
"stiff_lkn1","Integer","","Recommended","Left Knee Stiffness: In Morning, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"stiff_lkn2","Integer","","Recommended","Left Knee Stiffness: Later In Day, Last 7 Days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"qol_kn1","Integer","","Recommended","Quality of life: how often aware of problems with knee(s)","0::4","0=Never; 1=Monthly; 2=Weekly; 3=Daily; 4=Constantly",""
"qol_kn2","Integer","","Recommended","Quality of life: modified lifestyle to avoid potentially damaging activities to knee(s)","0::4","0=Not at all; 1=Mildly; 2=Moderately; 3=Severely; 4=Totally",""
"qol_kn3","Integer","","Recommended","Quality of life: how much troubled with lack of confidence in knee(s)","0::4","0=Not at all; 1=Mildly; 2=Moderately; 3=Severely; 4=Extremely",""
"qol_kn4","Integer","","Recommended","Quality of life: in general, how much difficulty have with knee(s)","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"diff_kn1","Integer","","Recommended","Either knee difficulty: squatting, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"diff_kn2","Integer","","Recommended","Either knee difficulty: running, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"diff_kn3","Integer","","Recommended","Either knee difficulty: jumping, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"diff_kn4","Integer","","Recommended","Either knee difficulty: twisting/pivoting on injured knee, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"diff_kn5","Integer","","Recommended","Either knee difficulty+E105: kneeling, last 7 days","0::4","0=None; 1=Mild; 2=Moderate; 3=Severe; 4=Extreme",""
"koos_rksymptoms","Float","","Recommended","Right knee: KOOS Symptoms Score","0::100","Lower scores on the KOOS indicate worse pain, stiffness, and functional limitations.",""
"koos_lksymptoms","Float","","Recommended","Left knee: KOOS Symptoms Score","0::100","Lower scores on the KOOS indicate worse pain, stiffness, and functional limitations.",""
"koos_qol","Float","","Recommended","KOOS Quality of Life Score","0::100","Lower scores on the KOOS indicate worse pain, stiffness, and functional limitations.",""
"koos_rkpain","Float","","Recommended","Right knee: KOOS Pain Score","0::100","Lower scores on the KOOS indicate worse pain, stiffness, and functional limitations.",""
"koos_lkpain","Float","","Recommended","Left knee: KOOS Pain Score","0::100","Lower scores on the KOOS indicate worse pain, stiffness, and functional limitations.",""
"koos_sports","Float","","Recommended","KOOS Function, Sports, and Recreational Activities Score","0::100","Lower scores on the KOOS indicate worse pain, stiffness, and functional limitations.",""
"womac_stiffness_right","Integer","","Recommended","Right Knee: Womac Stiffness Score (Calc)","0::8","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
"womac_stiffness_left","Integer","","Recommended","Left Knee: Womac Stiffness Score (Calc)","0::8","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
"womac_disability_right","Float","","Recommended","Right Knee: Womac Disability Score (Calc)","0::68","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
"womac_disability_left","Float","","Recommended","Left Knee: Womac Disability Score (Calc)","0::68","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
"womac_pain_left","Float","","Recommended","Left Knee: Womac Pain Score (Calc)","0::20","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
"womac_pain_right","Float","","Recommended","Right Knee: Womac Pain Score (Calc)","0::20","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
"womac_total_left","Float","","Recommended","Left Knee: Womac Total Score (Calc)","0::96","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
"womac_total_right","Float","","Recommended","Right Knee: Womac Total Score (Calc)","0::96","Higher scores on the WOMAC indicate worse pain, stiffness, and functional limitations.",""
