"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"parent_sleep01","Integer","","Recommended","In the past 7 days: My child had difficulty falling asleep.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
"parent_sleep02","Integer","","Recommended","In the past 7 days: My child slept through the night.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
"parent_sleep03","Integer","","Recommended","In the past 7 days: My child had a problem with his/her sleep.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
"parent_sleep04","Integer","","Recommended","In the past 7 days: My child had trouble sleeping.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
"parent_sleep05","Integer","","Recommended","In the past 7 days: It took my child a long time to fall asleep.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
"parent_sleep06","Integer","","Recommended","In the past 7 days: My child worried about not being able to fall asleep.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
"parent_sleep07","Integer","","Recommended","In the past 7 days: My child woke up at night and had trouble falling back to sleep.","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"sleep44_v2","Integer","","Recommended","In the past 7 days... I had difficulty falling asleep","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A","difficulty_asleep,prsld01"
"sleep20_v2","Integer","","Recommended","In the past 7 days... I had a problem with my sleep","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A","problem_sleep,prsld03"
"sleep67_v2","Integer","","Recommended","In the past 7 days... I worried about not being able to fall asleep","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A","prsld06"
"sleep86_v2","Integer","","Recommended","In the past 7 days... I tossed and turned at night","1::5; 99","1=Never; 2=Almost Never; 3=Sometimes; 4=Almost Always; 5=Always; 99=N/A","prsld08"
"slept_through","Integer","","Recommended","In the past 7 days... I slept through the night (Reverse Scored)","1::5","5= Never; 4= Almost Never; 3= Sometimes; 2= Almost Always; 1= Always","prsld02"
"sleepy_daytime","Integer","","Recommended","In the past 7 days... I was sleepy during the daytime","1::5","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always",""
"hardtime_concentrating","Integer","","Recommended","In the past 7 days... I had a hard time concentrating because I was sleepy","1::5","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always",""
"hardtime_things","Integer","","Recommended","In the past 7 days... I had a hard time getting things done because I was sleepy","1::5","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always",""
"poor_sleep","Integer","","Recommended","In the past 7 days...I had problems during the day because of poor sleep","1::5","1= Never; 2= Almost Never; 3= Sometimes; 4= Almost Always; 5= Always",""
"lastnight_sleep109","Integer","","Recommended","Last night... My sleep quality was","1::5","1=Very poor; 2=Poor; 3=Fair; 4=Good; 5=Very good",""
"lastnight_sleep108","Integer","","Recommended","Last night... My sleep was restless","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"lastnight_sleep115","Integer","","Recommended","Last night... I was satisfied with my sleep","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"lastnight_sleep116","Integer","","Recommended","Last night... My sleep was refreshing","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"lastnight_sleep44","Integer","","Recommended","Last night... I had difficulty falling asleep","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"lastnight_sleep110","Integer","","Recommended","Last night... I got enough sleep","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always",""
"lastnight_sleep87","Integer","","Recommended","Last night... I had trouble staying asleep","1::5","1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Always",""
"lastnight_sleep90","Integer","","Recommended","Last night... I had trouble sleeping","1::5","1=Never; 2=Rarely/Almost Never; 3=Sometimes; 4=Often; 5=Always",""
"sleep92_night","Integer","","Recommended","In the past 7 days... I woke up at night and had trouble falling back to sleep","1::5; 99","1=Never; 2=Rarely/Almost Never; 3=Sometimes; 4=Often/Almost Always; 5=Always; 99=N/A","prsld07"
"sleep_prms8v1_disturb_pp_score","Float","","Recommended","Sleep Disturbance Parent Proxy Raw Score ","","99=N/A; -999=Missing",""
"sld_sf_pros","Integer","","Recommended","Level 2 - Adult - Sleep Disturbance SF8b Prorated raw score","8::40","",""
"sld_sf_descriptor","String","25","Recommended","Level 2 - Adult - Sleep Disturbance SF8b classification","","",""
"sleep201","Integer","","Recommended","In the past 7 days... I had trouble staying asleep","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"sleep202","Integer","","Recommended","In the past 7 days... I had trouble sleeping","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
"sleep203","Integer","","Recommended","In the past 7 days... I got enough sleep","1::5","1=Not at all; 2=A little bit; 3=Somewhat; 4=Quite a bit; 5=Very much",""
